bins	bw_factor	scale_max_percentile	n_colors	row
50	4	percentile_75	1	1
50	4	percentile_75	2	2
50	4	percentile_75	3	3
50	4	percentile_75	4	4
50	4	percentile_75	5	5
50	4	percentile_75	6	6
50	4	percentile_75	7	7
50	4	percentile_75	8	8
50	4	percentile_75	9	9
50	4	percentile_75	10	10
50	4	percentile_75	11	11
50	4	percentile_90	1	12
50	4	percentile_90	2	13
50	4	percentile_90	3	14
50	4	percentile_90	4	15
50	4	percentile_90	5	16
50	4	percentile_90	6	17
50	4	percentile_90	7	18
50	4	percentile_90	8	19
50	4	percentile_90	9	20
50	4	percentile_90	10	21
50	4	percentile_90	11	22
50	4	percentile_95	1	23
50	4	percentile_95	2	24
50	4	percentile_95	3	25
50	4	percentile_95	4	26
50	4	percentile_95	5	27
50	4	percentile_95	6	28
50	4	percentile_95	7	29
50	4	percentile_95	8	30
50	4	percentile_95	9	31
50	4	percentile_95	10	32
50	4	percentile_95	11	33
50	6	percentile_75	1	34
50	6	percentile_75	2	35
50	6	percentile_75	3	36
50	6	percentile_75	4	37
50	6	percentile_75	5	38
50	6	percentile_75	6	39
50	6	percentile_75	7	40
50	6	percentile_75	8	41
50	6	percentile_75	9	42
50	6	percentile_75	10	43
50	6	percentile_75	11	44
50	6	percentile_90	1	45
50	6	percentile_90	2	46
50	6	percentile_90	3	47
50	6	percentile_90	4	48
50	6	percentile_90	5	49
50	6	percentile_90	6	50
50	6	percentile_90	7	51
50	6	percentile_90	8	52
50	6	percentile_90	9	53
50	6	percentile_90	10	54
50	6	percentile_90	11	55
50	6	percentile_95	1	56
50	6	percentile_95	2	57
50	6	percentile_95	3	58
50	6	percentile_95	4	59
50	6	percentile_95	5	60
50	6	percentile_95	6	61
50	6	percentile_95	7	62
50	6	percentile_95	8	63
50	6	percentile_95	9	64
50	6	percentile_95	10	65
50	6	percentile_95	11	66
50	8	percentile_75	1	67
50	8	percentile_75	2	68
50	8	percentile_75	3	69
50	8	percentile_75	4	70
50	8	percentile_75	5	71
50	8	percentile_75	6	72
50	8	percentile_75	7	73
50	8	percentile_75	8	74
50	8	percentile_75	9	75
50	8	percentile_75	10	76
50	8	percentile_75	11	77
50	8	percentile_90	1	78
50	8	percentile_90	2	79
50	8	percentile_90	3	80
50	8	percentile_90	4	81
50	8	percentile_90	5	82
50	8	percentile_90	6	83
50	8	percentile_90	7	84
50	8	percentile_90	8	85
50	8	percentile_90	9	86
50	8	percentile_90	10	87
50	8	percentile_90	11	88
50	8	percentile_95	1	89
50	8	percentile_95	2	90
50	8	percentile_95	3	91
50	8	percentile_95	4	92
50	8	percentile_95	5	93
50	8	percentile_95	6	94
50	8	percentile_95	7	95
50	8	percentile_95	8	96
50	8	percentile_95	9	97
50	8	percentile_95	10	98
50	8	percentile_95	11	99
50	10	percentile_75	1	100
50	10	percentile_75	2	101
50	10	percentile_75	3	102
50	10	percentile_75	4	103
